"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "comment", "blank", "total"
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\codeDisplay\CodeDisplay.tsx", "TypeScript JSX", 4, 0, 0, 0, 2, 6
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPalette\ColorPalette.module.css", "CSS", 0, 13, 0, 0, 3, 16
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPalette\ColorPalette.tsx", "TypeScript JSX", 43, 0, 0, 0, 4, 47
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPalette\useColorPaletteViewModel.ts", "TypeScript", 0, 0, 43, 0, 9, 52
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPickerList\ColorPickerList.module.css", "CSS", 0, 11, 0, 0, 3, 14
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPickerList\ColorPickerList.tsx", "TypeScript JSX", 33, 0, 0, 0, 4, 37
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPickerList\IColorPickerListProps.ts", "TypeScript", 0, 0, 4, 0, 2, 6
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPickerList\useColorPickerListViewModel.ts", "TypeScript", 0, 0, 61, 1, 11, 73
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPicker\ColorPicker.module.css", "CSS", 0, 29, 0, 0, 7, 36
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPicker\ColorPicker.tsx", "TypeScript JSX", 53, 0, 0, 0, 4, 57
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPicker\IColorPickerProps.ts", "TypeScript", 0, 0, 8, 0, 2, 10
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\colorPicker\useColorPickerViewModel.ts", "TypeScript", 0, 0, 19, 0, 5, 24
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\controlUnitIcon\ControlUnitIcon.tsx", "TypeScript JSX", 22, 0, 0, 0, 2, 24
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\features\controlUnitIcon\IControlUnitIconProps.ts", "TypeScript", 0, 0, 4, 0, 2, 6
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\index.css", "CSS", 0, 0, 0, 1, 0, 1
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\pages\ColorPalette.tsx", "TypeScript JSX", -4, 0, 0, 0, -2, -6
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\pages\ColorPalettePage.tsx", "TypeScript JSX", 11, 0, 0, 0, 2, 13
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\utils\style.ts", "TypeScript", 0, 0, 3, 0, 1, 4
"Total", "-", 73, 39, 16, 1, 24, 153
