"filename", "language", "JSON with Comments", "JSON", "TypeScript", "HTML", "Markdown", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\model\IColor.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\pages\ColorPalettePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\setupTests.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\types\IHaveDisplayControlUnits.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 3, 1, 7
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\utils\IdGenerator.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\src\utils\style.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Peter\Documents\ReactProjects\color-palette.react\tsconfig.json", "JSON with Comments", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 26, 18054, 187, 18, 26, 212, 89, 27, 33, 122, 18794
